timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701701270374,1325,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7393,255,1,1,https://www.blazedemo.com/reserve.php,1317,0,1025
1701701271707,279,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,6719,299,1,1,https://www.blazedemo.com/purchase.php,266,0,0
1701701271989,385,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,5780,428,2,2,https://www.blazedemo.com/confirmation.php,368,0,0
1701701270209,1989,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-5,,true,,19892,982,2,2,null,1951,177,1025
1701701272162,548,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,528,0,269
1701701272401,474,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,458,0,203
1701701272712,342,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,6719,299,2,2,https://www.blazedemo.com/purchase.php,329,0,0
1701701272878,362,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,6719,299,2,2,https://www.blazedemo.com/purchase.php,350,0,0
1701701273057,255,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,5780,440,2,2,https://www.blazedemo.com/confirmation.php,244,0,0
1701701272161,1145,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-4,,true,,19888,994,2,2,null,1101,7,269
1701701273241,273,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,5780,446,2,2,https://www.blazedemo.com/confirmation.php,263,0,0
1701701272384,1109,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-5,,true,,19888,1000,2,2,null,1071,22,203
1701701273317,500,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,479,0,214
1701701273527,594,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7389,255,2,2,https://www.blazedemo.com/reserve.php,588,0,183
1701701273821,404,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,6719,299,3,3,https://www.blazedemo.com/purchase.php,392,0,0
1701701274123,266,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,6719,299,3,3,https://www.blazedemo.com/purchase.php,254,0,0
1701701274225,405,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,5780,428,3,3,https://www.blazedemo.com/confirmation.php,402,0,0
1701701273316,1309,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-4,,true,,19888,982,3,3,null,1273,6,214
1701701274390,271,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,5780,440,3,3,https://www.blazedemo.com/confirmation.php,255,0,0
1701701273523,1131,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-5,,true,,19888,994,3,3,null,1097,9,183
1701701274175,526,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,7389,255,3,3,https://www.blazedemo.com/reserve.php,509,0,188
1701701274639,529,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,7389,255,3,3,https://www.blazedemo.com/reserve.php,528,0,197
1701701274702,466,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,6719,299,3,3,https://www.blazedemo.com/purchase.php,465,0,0
1701701274687,485,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7389,255,3,3,https://www.blazedemo.com/reserve.php,484,0,187
1701701275173,270,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,6719,299,3,3,https://www.blazedemo.com/purchase.php,253,0,0
1701701275169,317,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,6719,299,3,3,https://www.blazedemo.com/purchase.php,305,0,0
1701701275169,355,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,5780,446,3,3,https://www.blazedemo.com/confirmation.php,344,0,0
1701701274173,1347,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-3,,true,,19888,1000,3,3,null,1318,5,188
1701701275443,273,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,5780,440,3,3,https://www.blazedemo.com/confirmation.php,262,0,0
1701701274685,1029,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-5,,true,,19888,994,3,3,null,999,4,187
1701701275487,384,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,5780,428,3,3,https://www.blazedemo.com/confirmation.php,372,0,0
1701701274634,1230,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-4,,true,,19888,982,3,3,null,1205,8,197
1701701275526,525,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,7389,255,3,3,https://www.blazedemo.com/reserve.php,506,0,225
1701701275730,509,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7389,255,4,4,https://www.blazedemo.com/reserve.php,490,0,224
